Entropy
[0.9263642409421523, 0.9316007477731755, 0.9319254111966989, 0.9325014269481114, 0.9324281158524771, 0.9332397744112857, 0.9332764299591029, 0.9338314996831913, 0.9338105536558673, 0.9339100472856566, 0.9340200139291082, 0.9341509265998837, 0.9345331915985484, 0.9349678216655234, 0.9354129247461603, 0.9349521121450303, 0.9347374153649584, 0.9348107264605927, 0.9356590405672184, 0.9352401200207365]
[0.9184832981614625, 0.9224263878052229, 0.9254111966989061, 0.922908146433677, 0.9223373671890955, 0.9236098383490341, 0.9267203234066619, 0.924719977797211, 0.9274743803903293, 0.9265946472427173, 0.9183995140521661, 0.9289667848371708, 0.9287206690161127, 0.9260971790937701, 0.9286630674409715, 0.9279037739504731, 0.9257044410814433, 0.9281603627851932, 0.9314645985955688, 0.931501254143386]
[0.9236050018851326, 0.9315016128356584, 0.9322609023501319, 0.9327321854970466, 0.9326536383058942, 0.9327897867705585, 0.9331458673704495, 0.9339365757613841, 0.9341826902936617, 0.9349472162875455, 0.9344654601818105, 0.9341355619789703, 0.9351252565874911, 0.9356960328431989, 0.9353347157638976, 0.9353713711197688, 0.9358740731431444, 0.935476100707972, 0.9361044782371916, 0.9354551547903314]
[0.542496, 0.573507, 0.578791, 0.620717, 0.619363, 0.632251, 0.637728, 0.637255, 0.63527, 0.638152, 0.638979, 0.639004, 0.643785, 0.644026, 0.654498, 0.65324, 0.648571, 0.644105, 0.655778, 0.645965]
[0.517655, 0.636957, 0.636667, 0.635501, 0.627319, 0.72556, 0.689444, 0.694707, 0.694626, 0.699447, 0.688577, 0.68549, 0.69013, 0.693966, 0.693212, 0.694618, 0.689682, 0.691065, 0.694339, 0.688403]
[0.582795, 0.608146, 0.610054, 0.651976, 0.653833, 0.664038, 0.674389, 0.677619, 0.677402, 0.681776, 0.682017, 0.681678, 0.683032, 0.685997, 0.690958, 0.690318, 0.684248, 0.684667, 0.693245, 0.68549]
[309797, 359357, 406937, 452617, 496457, 538557, 578957, 617757, 654997, 690737, 725057, 757997, 789617, 819977, 849137, 877117, 903977, 929777, 954537, 978297]

Margin
[0.9291814816172428, 0.931029968528594, 0.9311189891447214, 0.9327475427691695, 0.9315745652390204, 0.932396696811491, 0.9333445045479062, 0.9337215330397398, 0.9331350442746652, 0.9341142710520666, 0.9338524457105154, 0.9341352170793907, 0.9341823456408699, 0.9352505930343986, 0.9349625851586923, 0.9351249168704541, 0.9353815057051742, 0.9357428246765148, 0.9354914723486257, 0.9359156294019385]
[0.9220964878748684, 0.9194677614456948, 0.9244267334146737, 0.9244424429351669, 0.9228819638995219, 0.9278356993616698, 0.9282965119627998, 0.9295585101090764, 0.9284954992223787, 0.9291291165489325, 0.9263851869694764, 0.9294066514109768, 0.9288620547005504, 0.9279351929914592, 0.9283645865516031, 0.9292443196992151, 0.9306005749684501, 0.9320249048264884, 0.9281446532647002, 0.9306424670230983]
[0.9247884462318294, 0.9315277952327091, 0.9321509362825185, 0.9325960370323824, 0.93219806459721, 0.9333239076703951, 0.9342769469230447, 0.9338475556114113, 0.9330830296175275, 0.9343921494700683, 0.9332715428762934, 0.9345963721670646, 0.9348215407817017, 0.9352875874492061, 0.936020694566629, 0.936277282057727, 0.9361725524695237, 0.9364291399606217, 0.9362668090989066, 0.9359683297725273]
[0.536612, 0.580912, 0.581675, 0.579014, 0.618353, 0.640347, 0.640827, 0.634255, 0.637005, 0.630952, 0.638885, 0.643302, 0.650779, 0.656214, 0.653239, 0.655803, 0.655154, 0.657621, 0.656013, 0.661497]
[0.54101, 0.594759, 0.633547, 0.637255, 0.619393, 0.699646, 0.707976, 0.696026, 0.676113, 0.690779, 0.68072, 0.689414, 0.691155, 0.689545, 0.696439, 0.698369, 0.697809, 0.699975, 0.698135, 0.69136]
[0.573534, 0.61274, 0.608956, 0.610631, 0.661052, 0.66231, 0.669598, 0.676333, 0.67966, 0.679314, 0.680199, 0.686662, 0.690997, 0.6871, 0.693189, 0.693718, 0.694571, 0.695087, 0.694714, 0.693898]
[309797, 359357, 406937, 452617, 496457, 538557, 578957, 617757, 654997, 690737, 725057, 757997, 789617, 819977, 849137, 877117, 903977, 929777, 954537, 978297]

Random
[0.9286892499751266, 0.9312080097608487, 0.9324385888661392, 0.932627103112056, 0.9337738981080501, 0.933292139479596, 0.933763425094388, 0.9334597076981886, 0.9330931522200171, 0.9345960296805207, 0.9338733917378396, 0.9342242376955181, 0.9350463692679887, 0.934664104269324, 0.9346222122146758, 0.934873564542565, 0.9348107264605927, 0.9354286342666533, 0.9352505930343986, 0.9357323516628527]
[0.9209601658925364, 0.9150638592008044, 0.9243220032780533, 0.9235312907465688, 0.9243220032780533, 0.9222902386276163, 0.9256311299858091, 0.9270188042960302, 0.9276733676499082, 0.9270764058711715, 0.930574392434295, 0.925390250671582, 0.9298255719574586, 0.9305220273659847, 0.9297051323003451, 0.9285845198385061, 0.9276157660747668, 0.9306215209957741, 0.9290453324396362, 0.9309723669534526]
[0.9262127686313938, 0.9313654643709941, 0.9322766117883624, 0.9327269490176364, 0.9324494156088978, 0.9334810020526999, 0.9335962045997235, 0.9336223869967744, 0.933706170667337, 0.9340517783084077, 0.9348215407817017, 0.9342455280465837, 0.9351776213815928, 0.9363401198106489, 0.9361097147166018, 0.9362196807842151, 0.9364343764400318, 0.9363087009341879, 0.9364762682753132, 0.9365914708223367]
